Date,Open,High,Low,Close,Adj Close,Volume
2024-06-28,2805.000000,2822.000000,2730.000000,2759.000000,2759.000000,816200
2024-07-01,2781.000000,2785.000000,2696.000000,2712.000000,2712.000000,658300
2024-07-02,2712.000000,2721.000000,2663.000000,2691.000000,2691.000000,601200
2024-07-03,2730.000000,2765.000000,2612.000000,2612.000000,2612.000000,907800
2024-07-04,2550.000000,2553.000000,2439.000000,2453.000000,2453.000000,2105200
2024-07-05,2450.000000,2569.000000,2423.000000,2541.000000,2541.000000,1684600
2024-07-08,2545.000000,2559.000000,2506.000000,2522.000000,2522.000000,681200
2024-07-09,2510.000000,2556.000000,2494.000000,2534.000000,2534.000000,518200
2024-07-10,2525.000000,2574.000000,2416.000000,2452.000000,2452.000000,948000
2024-07-11,2500.000000,2509.000000,2421.000000,2482.000000,2482.000000,754800
2024-07-12,2511.000000,2635.000000,2500.000000,2576.000000,2576.000000,1220900
